1,2,3,4,5,6,9,10,11,12,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,15%,20%,0%,0%,65%,0%
